Name,HDFC_ID,Category
DEEPAK NITRITE LIMITED,4286,A
KANORIA CHEMICALS AND INDUSTRIES LTD,4264,A
MAERSK GLOBAL SERVICE CENTRES  INDIA  PRIVATE LIMITED,4277,A
VINDHYA TELELINKS LIMITED,7343,A
TVS SRICHAKRA LIMITED,7401,A
OMORI INDIA PRIVATE LIMITED,7407,A
PAUL MERCHANTS LIMITED,8133,A
PENINSULA FACILITY MANAGEMENT SERVICES LIMITED,8158,A
PERCEPT LIMITED,8180,A
LAGU BANDHU MOTIWALE PRIVATE LIMITED,8217,A
ORIENTAL HOTELS LIMITED,4730,A
ORIX AUTO INFRASTRUCTURE SERVICES LIMITED,4736,A
OSWAL WOOLLEN MILLS LTD,4752,A
DHANUKA AGRITECH LIMITED,4556,A
MASTER CAPITAL SERVICES LIMITED,7397,A
NATIONAL PEROXIDE LIMITED,7444,A
ULTRAMARINE AND PIGMENTS LIMITED,7469,A
NEELIKON FOOD DYES AND CHEMICALS LIMITED,7457,A
PIONEER POLYLEATHERS LIMITED,8232,A
PIX TRANSMISSIONS LTD,8262,A
PLASTIBLENDS INDIA LIMITED,8281,A
POLYGENTA TECHNOLOGIES LIMITED,8294,A
MOTOROLA SOLUTIONS INDIA PRIVATE LIMITED,8244,A
MITSUBISHI CORPORATION,8263,A
PARAMOUNT COMMUNICATIONS LIMITED,4807,A
FURNACE FABRICA  INDIA  LIMITED,5069,A
G R INFRAPROJECTS LIMITED,5115,A
GATEWAY RAIL FREIGHT LIMITED,5166,A
MASTEK LIMITED,8337,A
VERIZON DATA SERVICES INDIA PRIVATE LIMITED,5373,A
VE COMMERCIAL VEHICLES LIMITED,5376,A
CEAT LIMITED,6613,A
RDC CONCRETE INDIA PRIVATE LIMITED,6474,A
CANON INDIA PRIVATE LIMITED,6628,A
AYURVET LIMITED,4441,A
BANCO ALUMINIUM LIMITED,4503,A
QUALITY NEEDLES PRIVATE LIMITED,7596,A
THE INDIA CEMENTS LIMITED,7717,A
SIFY TECHNOLOGIES LIMITED,6814,A
INDIAN EXPLOSIVES PRIVATE LIMITED,6826,A
SIYARAM SILK MILLS LIMITED,6827,A
TAJ SATS AIR CATERING LIMITED,6844,A
TALBROS AUTOMOTIVE COMPONENTS LIMITED,6850,A
VARDHMAN TEXTILES LIMITED,5378,A
UNITED SPIRITS LIMITED,5387,A
UNITED PHOSPHATE PRIVATE LIMITED,5388,A
UNISYS INDIA PVT LTD,5392,A
UAL INDUSTRIES LIMITED,5400,A
TVS MOTOR COMPANY LIMITED,5429,A
THOMAS COOK INDIA LIMITED,5472,A
MJUNCTION SERVICES LIMITED,4371,A
TAIKISHA ENGINEERING INDIA PRIVATE LIMITED,7737,A
SFO TECHNOLOGIES PRIVATE LIMITED,7786,A
SANDOZ PRIVATE LIMITED,7675,A
ROCHE DIAGNOSTICS INDIA PRIVATE LIMITED,7695,A
TARGET CORPORATION INDIA PRIVATE LIMITED,6857,A
INDIAN RARE EARTHS LIMITED,6939,A
TATA COMMUNICATIONS LIMITED,5540,A
GOLDMAN SACHS SERVICES PRIVATE LIMITED,5421,A
NILKAMAL LIMITED,4486,A
PARRY AGRO INDUSTRIES LIMITED,7770,A
ORANGE BUSINESS SERVICES INDIA SOLUTIONS PRIVATE LIMITED,7784,A
INDO COLCHEM PRIVATE LIMITED,6960,A
EMERSON ELECTRIC COMPANY INDIA PRIVATE LIMITED,5497,A
E.I.D PARRY INDIA LIMITED,5508,A
E I DUPONT INDIA PRIVATE LIMITED,5510,A
DLF LIMITED,5518,A
DEUTSCHE TELEKOM CLINICAL SOLUTIONS INDIA PRIVATE LIMITED,5520,A
DENSO INDIA PRIVATE LIMITED,5525,A
TGV SRAAC LIMITED,5648,A
BHARAT RASAYAN LIMITED,4684,A
NORINCO PRIVATE LIMITED,7646,A
QUICK HEAL TECHNOLOGIES LIMITED,7612,A
R SYSTEMS INTERNATIONAL LIMITED,7625,A
THIRUMALAI CHEMICALS LIMITED,7080,A
TTK PRESTIGE LIMITED,7331,A
KEMIN INDUSTRIES SOUTH ASIA PRIVATE LIMITED,5311,A
INDITRADE CAPITAL LIMITED,5343,A
JOTUN INDIA PRIVATE LIMITED,5346,A
HALDIRAM SNACKS PRIVATE LIMITED,5997,A
HALDYN GLASS LIMITED,5998,A
HATHWAY CABLE AND DATACOM LIMITED,6026,A
HDFC PROPERTY VENTURES LIMITED,6073,A
MAYUR UNIQUOTERS LIMITED,7020,A
